Time,Temperature,Depth,Image/video-file,Video tags,BTLVL,Mode,Res,FPS,Overlay,DCCWB,EIS,Autorec,Wifi,Sdcard,Firmware
2023:04:04 09:44:09, +27.5 ,008.9 ,MOV_0001,0,84,Video,4K,30,On,Blue,Off,Off,Off,64,1.4.7
2023:04:04 09:48:07, +27.6 ,017.9 ,MOV_0002,0,80,Video,4K,30,On,Blue,Off,Off,Off,64,1.4.7
2023:04:04 09:51:15, +27.6 ,017.3 ,MOV_0003,0,78,Video,4K,30,On,Blue,Off,Off,Off,64,1.4.7
2023:04:04 09:51:24, +27.6 ,016.4 ,MOV_0004,0,77,Video,4K,30,On,Blue,Off,Off,Off,64,1.4.7
2023:04:04 09:52:48, +27.7 ,018.1 ,MOV_0005,0,76,Video,4K,30,On,Blue,Off,Off,Off,64,1.4.7
2023:04:04 09:53:51, +27.7 ,017.8 ,MOV_0006,0,75,Video,4K,30,On,Blue,Off,Off,Off,64,1.4.7
2023:04:04 09:54:13, +27.7 ,017.3 ,MOV_0007,0,75,Video,4K,30,On,Blue,Off,Off,Off,64,1.4.7
2023:04:04 09:54:56, +27.7 ,016.9 ,MOV_0008,0,74,Video,4K,30,On,Blue,Off,Off,Off,64,1.4.7
2023:04:04 09:56:16, +27.6 ,017.9 ,MOV_0009,0,73,Video,4K,30,On,Blue,Off,Off,Off,64,1.4.7
2023:04:04 09:59:56, +27.6 ,021.4 ,MOV_0010,0,71,Video,4K,30,On,Blue,Off,Off,Off,64,1.4.7
2023:04:04 10:02:58, +27.6 ,021.2 ,MOV_0011,0,68,Video,4K,30,On,Blue,Off,Off,Off,64,1.4.7
2023:04:04 10:04:55, +27.6 ,019.8 ,MOV_0012,0,67,Video,4K,30,On,Blue,Off,Off,Off,64,1.4.7
2023:04:04 10:07:07, +27.6 ,018.3 ,MOV_0013,0,65,Video,4K,30,On,Blue,Off,Off,Off,64,1.4.7
2023:04:04 10:07:48, +27.5 ,017.6 ,MOV_0014,0,64,Video,4K,30,On,Blue,Off,Off,Off,64,1.4.7
2023:04:04 10:10:09, +27.6 ,014.8 ,MOV_0015,0,63,Video,4K,30,On,Blue,Off,Off,Off,64,1.4.7
2023:04:04 10:12:26, +27.6 ,013.2 ,MOV_0016,0,61,Video,4K,30,On,Blue,Off,Off,Off,64,1.4.7
2023:04:04 10:14:12, +27.6 ,011.8 ,MOV_0017,0,60,Video,4K,30,On,Blue,Off,Off,Off,64,1.4.7
2023:04:04 10:15:39, +27.5 ,011.7 ,MOV_0018,0,59,Video,4K,30,On,Blue,Off,Off,Off,64,1.4.7
2023:04:04 10:20:42, +27.5 ,009.0 ,MOV_0019,0,55,Video,4K,30,On,Blue,Off,Off,Off,64,1.4.7
2023:04:04 10:22:55, +27.5 ,007.6 ,MOV_0020,0,52,Video,4K,30,On,Blue,Off,Off,Off,64,1.4.7
2023:04:04 10:26:48, +27.5 ,007.2 ,MOV_0021,0,50,Video,4K,30,On,Blue,Off,Off,Off,64,1.4.7
2023:04:04 10:27:26, +27.5 ,007.8 ,MOV_0022,0,49,Video,4K,30,On,Blue,Off,Off,Off,64,1.4.7
2023:04:04 10:29:17, +27.5 ,007.4 ,MOV_0023,0,49,Video,4K,30,On,Blue,Off,Off,Off,64,1.4.7
2023:04:04 10:31:43, +27.5 ,006.4 ,MOV_0024,0,46,Video,4K,30,On,Blue,Off,Off,Off,64,1.4.7
